Year,League,Team, Revenue , Value ,Year over Year Value Increase,Debt/Value,  Income  , Population ,State ,# of Seasons
2020,MLS,LAFC,50000000,475000000,,,0,13310000,California,6
2020,MLS,Portland Timbers,47000000,390000000,,,0,2424955,Oregon,13
2020,MLS,Seattle Sounders,47000000,405000000,,,0,3800000,Oregon,15
2020,MLS,New York City FC,45000000,385000000,,,0,20150000,New York,9
2020,MLS,Sporting Kansas City,43000000,325000000,,,0,2100000,Kansas,28
2020,MLS,Toronto FC,43000000,395000000,,,0,5930000,Ontario,17
2020,MLS,DC United,41000000,330000000,,,0,6130000,District of Columbia,28
2020,MLS,Orlando City SC,39000000,295000000,,,0,2440000,Florida,9
2020,MLS,New York Red Bulls,36000000,290000000,,,0,13310000,New Jersey,28
2020,MLS,San Jose Earthquakes,35000000,275000000,,,0,6660000,California,28
2020,MLS,FC Dallas,33000000,220000000,,,0,7230000,Texas,28
2020,MLS,New England Revolution,29000000,245000000,,,0,4790000,Massachusetts,28
2020,MLS,Minnesota United,24000000,300000000,,,0,3550000,Minnesota,7
2020,MLS,Chicago Fire,23000000,335000000,,,0,9510000,Illinois,27
2020,MLS,Houston Dynamo,23000000,280000000,,,0,6770000,Texas,18
2020,MLS,Philadelphia Union,21000000,240000000,,,0,6070000,Pennsylvania,14
2020,MLS,Real Salt Lake,21000000,235000000,,,0,1190000,Utah,19
2020,MLS,Vancouver Whitecaps,20000000,215000000,,,0,2460000,British Columbia,13
2020,MLS,Colorado Rapids,18000000,190000000,,,0,2850000,Colorado,28
2020,MLS,Columbus Crew,18000000,200000000,,,0,2040000,Ohio,28
2020,MLS,Montreal Impact,18000000,210000000,,,0,4100000,Quebec,12
